nýtsluland;1993 Jan;1993 Feb;1993 Mar;1993 Apr;1993 Mai;1993 Jun;1993 Jul;1993 Aug;1993 Sep;1993 Okt;1993 Nov;1993 Des;1994 Jan;1994 Feb;1994 Mar;1994 Apr;1994 Mai;1994 Jun;1994 Jul;1994 Aug;1994 Sep;1994 Okt;1994 Nov;1994 Des;1995 Jan;1995 Feb;1995 Mar;1995 Apr;1995 Mai;1995 Jun;1995 Jul;1995 Aug;1995 Sep;1995 Okt;1995 Nov;1995 Des;1996 Jan;1996 Feb;1996 Mar;1996 Apr;1996 Mai;1996 Jun;1996 Jul;1996 Aug;1996 Sep;1996 Okt;1996 Nov;1996 Des;1997 Jan;1997 Feb;1997 Mar;1997 Apr;1997 Mai;1997 Jun;1997 Jul;1997 Aug;1997 Sep;1997 Okt;1997 Nov;1997 Des;1998 Jan;1998 Feb;1998 Mar;1998 Apr;1998 Mai;1998 Jun;1998 Jul;1998 Aug;1998 Sep;1998 Okt;1998 Nov;1998 Des;1999 Jan;1999 Feb;1999 Mar;1999 Apr;1999 Mai;1999 Jun;1999 Jul;1999 Aug;1999 Sep;1999 Okt;1999 Nov;1999 Des;2000 Jan;2000 Feb;2000 Mar;2000 Apr;2000 Mai;2000 Jun;2000 Jul;2000 Aug;2000 Sep;2000 Okt;2000 Nov;2000 Des;2001 Jan;2001 Feb;2001 Mar;2001 Apr;2001 Mai;2001 Jun;2001 Jul;2001 Aug;2001 Sep;2001 Okt;2001 Nov;2001 Des;2002 Jan;2002 Feb;2002 Mar;2002 Apr;2002 Mai;2002 Jun;2002 Jul;2002 Aug;2002 Sep;2002 Okt;2002 Nov;2002 Des;2003 Jan;2003 Feb;2003 Mar;2003 Apr;2003 Mai;2003 Jun;2003 Jul;2003 Aug;2003 Sep;2003 Okt;2003 Nov;2003 Des;2004 Jan;2004 Feb;2004 Mar;2004 Apr;2004 Mai;2004 Jun;2004 Jul;2004 Aug;2004 Sep;2004 Okt;2004 Nov;2004 Des;2005 Jan;2005 Feb;2005 Mar;2005 Apr;2005 Mai;2005 Jun;2005 Jul;2005 Aug;2005 Sep;2005 Okt;2005 Nov;2005 Des;2006 Jan;2006 Feb;2006 Mar;2006 Apr;2006 Mai;2006 Jun;2006 Jul;2006 Aug;2006 Sep;2006 Okt;2006 Nov;2006 Des;2007 Jan;2007 Feb;2007 Mar;2007 Apr;2007 Mai;2007 Jun;2007 Jul;2007 Aug;2007 Sep;2007 Okt;2007 Nov;2007 Des;2008 Jan;2008 Feb;2008 Mar;2008 Apr;2008 Mai;2008 Jun;2008 Jul;2008 Aug;2008 Sep;2008 Okt;2008 Nov;2008 Des;2009 Jan;2009 Feb;2009 Mar;2009 Apr;2009 Mai;2009 Jun;2009 Jul;2009 Aug;2009 Sep;2009 Okt;2009 Nov;2009 Des;2010 Jan;2010 Feb;2010 Mar;2010 Apr;2010 Mai;2010 Jun;2010 Jul;2010 Aug;2010 Sep;2010 Okt;2010 Nov;2010 Des;2011 Jan;2011 Feb;2011 Mar;2011 Apr;2011 Mai;2011 Jun;2011 Jul;2011 Aug;2011 Sep;2011 Okt;2011 Nov;2011 Des;2012 Jan;2012 Feb;2012 Mar;2012 Apr;2012 Mai;2012 Jun;2012 Jul;2012 Aug;2012 Sep;2012 Okt;2012 Nov;2012 Des;2013 Jan;2013 Feb;2013 Mar;2013 Apr;2013 Mai;2013 Jun;2013 Jul;2013 Aug;2013 Sep;2013 Okt;2013 Nov;2013 Des;2014 Jan;2014 Feb;2014 Mar;2014 Apr;2014 Mai;2014 Jun;2014 Jul;2014 Aug;2014 Sep;2014 Okt;2014 Nov;2014 Des;2015 Jan;2015 Feb;2015 Mar;2015 Apr;2015 Mai;2015 Jun;2015 Jul;2015 Aug;2015 Sep;2015 Okt;2015 Nov;2015 Des;2016 Jan;2016 Feb;2016 Mar;2016 Apr;2016 Mai;2016 Jun;2016 Jul;2016 Aug;2016 Sep;2016 Okt;2016 Nov;2016 Des;2017 Jan;2017 Feb;2017 Mar;2017 Apr;2017 Mai;2017 Jun;2017 Jul;2017 Aug;2017 Sep;2017 Okt;2017 Nov;2017 Des;2018 Jan;2018 Feb;2018 Mar;2018 Apr;2018 Mai;2018 Jun;2018 Jul;2018 Aug;2018 Sep;2018 Okt;2018 Nov;2018 Des;2019 Jan;2019 Feb;2019 Mar;2019 Apr;2019 Mai;2019 Jun;2019 Jul;2019 Aug;2019 Sep;2019 Okt;2019 Nov;2019 Des;2020 Jan;2020 Feb;2020 Mar;2020 Apr;2020 Mai;2020 Jun;2020 Jul;2020 Aug;2020 Sep;2020 Okt;2020 Nov;2020 Des;2021 Jan;2021 Feb;2021 Mar;2021 Apr;2021 Mai;2021 Jun;2021 Jul;2021 Aug;2021 Sep;2021 Okt;2021 Nov;2021 Des;2022 Jan;2022 Feb;2022 Mar;2022 Apr;2022 Mai;2022 Jun;2022 Jul;2022 Aug;2022 Sep;2022 Okt;2022 Nov;2022 Des;2023 Jan;2023 Feb;2023 Mar;2023 Apr;2023 Mai;2023 Jun;2023 Jul;2023 Aug;2023 Sep;2023 Okt;2023 Nov
Bahamaoyggjar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205.3;0;0;0;0;0;0;0;0;0;189.0;0;0;0;0;0;357.9;0;0;0;0;0;0;0;0;0;0;0;0;0;724.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;988.9;0;0;0;0;0;0;0;321.9;0;0;417.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2067.0;32.9;3294.2;0;0;0;0;352.2;352.2;352.2;352.2;352.2;352.2;3930.5;352.2;352.2;1146.2;352.2;352.2;0;0;109.8;395.1;0;0;203.5;265.0;493.1;0;440.7;0;0;0;0;0;90.8;0;293.7;5.0;0;0;557.1;452.3;382.7;178.7;12.4;0;0;0;6.6;92.2;61.3;388.5;153.1;0;0;0;582.0;739.6;0;0;0;0;0;149.8;98.8;119.2;0;0;15.3;0;219.3;7869.5;9591.4;1973.4;0;718.2;0;720.4;17.8;243.6;1175.6;0;174.7;0;0;353.6;2494.1;0;0
Barbados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;665.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302.4;0;0;0;0;0;0;0;0;0;0;0;0;0
Barein;0;0;0;0;0;0;0;0;0;500.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164.8;0;0;0;2551.0;3970.7;1550.6;975.7;3935.2;1190.6;411.7;3021.8;3282.1;2177.0;3651.8;2693.4;1736.0;3220.4;2435.4;1228.4;1092.4;2255.9;4139.4;1246.5;1579.6;2741.4;1465.5;4044.0;1636.9;316.6;1640.6;1687.3;1791.1;1594.5;0;398.7;1362.3;690.0;166.7;2807.6;1555.9;135.8;556.0;1126.2;769.8;823.0;650.6;1347.9;610.6;466.3;331.3;1022.4;1326.6;0;1597.7;632.4;1375.8;1483.8;326.4;903.0;351.4;0;1001.9;1372.1;1280.8;659.1;1497.2;61.4;1351.9;514.7;162.1;208.5;368.9;463.5;0;0;1816.0;621.9;137.7;1125.2;308.2;427.1;104.6;423.8;61.5;2.2;154.6;172.6;140.6;826.6;336.8;532.8;656.8;530.6;1829.6;474.3;2209.4;661.1;1285.4;614.3;405.3;26.9;1269.0;538.2;1591.8;2647.3;500.5;1653.9;349.9;1057.3;1085.3;1221.5;132.8;1737.0;687.6;1195.8;1738.5;748.9;1505.9;1256.7;812.0;536.8;3481.5;1935.3;1687.4;1730.6;1873.8;2498.1;3348.0;2641.2;2225.0;227.5;3242.8;0;2407.6;2447.2;0;1119.5;1220.7;1716.8;846.7;1.8;1056.0;1393.5;1437.6;1646.9;1082.9;938.9;282.7;761.8;1192.4;0;0;883.6;0;464.2;993.8;16501.5;981.1;0;1115.4;565.6;1136.0;0;1684.6;170.4;1170.9;1201.1;880.1;1113.7;217.5;864.2;1230.8;0;1140.9;675.2;2017.9;4289.7;368.7;1522.3;595.4;0;1560.1;973.0;0;777.1;2629.2;792.1;3447.6;456.5;2647.6;1654.6;1943.7;1807.9;6433.4;4637.3;8254.9;5188.3;0;6186.3;3895.9;4827.7;2315.4;4056.3;4561.0;550.6;7610.5;6573.4;6901.2;5156.4;3221.5;5889.2;0;2709.2;7370.9;7790.9;3296.5;0;5629.2;5039.5;1629.1;5410.2;1437.6;2210.8;3680.7;2065.6;4547.9;3447.7;3461.1;2658.2;2312.3;6210.0;1359.0;2876.2;2175.6;3669.8;3881.1;7998.6;3741.8;7142.1;2508.8;2521.5;3260.0;3889.2;2519.0;0;2815.7;1.3;717.1;2005.7;735.1;457.4;2072.6;1306.6;1616.1;1749.5;328.5;3251.3;460.4;1419.2;374.0;4246.2;2204.7;898.0;889.7;3214.1;4862.8;5140.1;1427.4;188.3;1478.9;0;3193.3;2885.4;702.5;3177.7;774.3;41709.7;2207.8;1524.4;1031.9
Belgia og Luksemborg;4444.1;3881.5;3132.9;2452.8;2145.7;2290.8;1228.6;2246.4;1319.7;1382.7;1441.3;1259.0;916.3;1359.3;1499.4;1805.3;1144.5;2906.0;3297.7;1678.7;1781.9;600.4;2623.0;768.8;277.4;426.1;766.6;369.2;512.7;0;398.5;726.5;679.2;754.7;962.3;846.9;635.8;963.0;2823.9;914.8;1071.2;766.6;493.8;1194.5;483.2;97.8;725.5;1406.3;651.9;1024.4;903.1;711.9;974.7;1176.8;2929.4;890.6;2005.4;854.6;724.0;1054.6;1043.2;2067.4;1500.2;1572.0;1053.2;705.3;1317.8;428.7;554.8;894.6;1616.1;800.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186.5;138.2;334.5;198.2;157.3;0;244.8;288.8;148.6;47.2;388.2;130.7;0.3;26.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.2;0;0;0;0;0;0;0;0;0;0;306.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86.8;0;0;0;0;0;0;0;0;0;0;0;0;0;10.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300.9;210.3;0;0;0;0;0;0;0;0;335.3;0;21556.5;0;900.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;685.8;247.2;329.1;90.0;0;0;362.8;0;257.9;0;0;0;127.2;0;0;239.7;504.0;0;608.5;3397.1;2070.1;1316.5;248.9;0;669.5;0;0;1015.4;1352.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolivia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brasil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576.4;566.4;0;0;656.6;0;0;0;0;0;510.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bretland;21232.9;18503.0;54535.5;40755.1;37077.0;48614.5;63520.8;25932.9;36321.5;39845.0;15459.4;14541.1;25732.1;16717.3;45262.5;16560.3;53865.5;53362.9;34462.9;34934.2;45478.7;27441.1;26546.3;43617.3;48218.4;14730.9;65910.1;38920.6;57137.0;30547.2;72218.6;20322.9;61044.5;50915.6;25169.8;37829.8;31045.9;29161.5;81196.8;46622.3;52284.4;41150.2;63228.7;56815.8;62422.2;33767.4;53718.0;32637.8;48723.3;54264.2;43362.9;86249.9;48102.7;46055.6;76315.9;55648.2;50838.7;82499.4;50604.3;44223.7;64901.4;61836.0;51160.8;83401.1;72726.3;49150.7;65323.1;49563.7;67456.5;109549.0;59794.6;47989.7;62733.6;56379.9;58209.3;87596.4;36539.5;73430.4;46992.5;47085.2;47307.0;76140.8;78240.1;62424.8;73063.1;45939.6;104821.8;83233.9;49452.9;44782.0;38926.7;74703.6;45453.7;40760.0;96233.4;73954.7;51398.6;53622.7;83798.0;113106.9;51692.1;51630.9;94010.5;51498.1;63313.0;40786.1;63189.4;74377.7;43827.0;53642.9;68515.5;137353.0;97508.7;70186.8;141067.7;83922.2;83622.6;99884.4;87700.7;56208.6;63257.8;44315.7;61629.1;145173.9;43908.9;87357.5;85432.9;65851.6;61786.2;60112.4;81221.7;63849.6;106356.3;53674.1;96526.3;101609.2;89349.0;86700.2;92989.9;63450.5;53317.0;64542.5;69960.7;62843.3;113866.7;55320.2;77309.1;130455.9;93669.3;50337.3;103235.8;63678.4;76913.3;94757.3;106361.4;61334.5;91865.4;87576.0;110720.4;103577.8;50401.8;93149.3;87645.0;73387.1;106283.5;81228.8;61439.0;73603.1;116889.5;58034.3;72174.2;135232.9;51746.8;82738.9;61828.4;98699.4;84071.8;77266.0;84383.5;46453.1;82741.5;65238.5;84217.9;71988.5;111408.7;91592.9;44973.9;72261.5;57633.1;76706.5;62608.5;55110.5;47002.7;53567.4;89925.3;64433.0;69482.0;49496.5;49037.7;51559.8;50899.0;84771.5;47550.8;49596.8;46140.8;59942.3;40503.7;77363.9;75279.2;65342.2;72924.4;58769.5;76359.4;69910.7;49368.6;71414.9;54062.8;55634.7;68375.9;65251.1;101108.0;52943.6;59949.7;32721.8;41709.1;55143.5;60215.5;80607.6;40128.0;78366.1;62508.3;36924.0;98034.7;53295.8;64303.4;38874.7;40865.7;26648.1;37303.8;53189.1;44086.7;38973.3;103508.8;63988.1;84825.8;65607.2;37311.6;55491.9;41409.9;38799.1;50315.7;66146.2;51306.9;43180.0;75387.2;52728.1;98291.8;40669.3;28950.7;57286.7;56503.5;57099.8;64003.3;34863.1;59593.3;25475.6;84522.7;32314.8;56065.5;57062.7;22451.3;14069.1;106563.6;48162.1;51142.3;35482.5;56983.0;100324.3;74122.0;70235.9;101937.1;55171.0;60638.0;57460.5;64264.3;69166.7;48313.5;92295.2;89857.6;48344.4;62063.6;72191.9;80560.8;92117.2;57805.6;94871.3;62785.2;43608.5;27345.8;37984.9;64640.1;41391.7;104205.0;51867.9;46617.7;119245.3;34467.2;82621.9;66240.6;62238.0;91046.6;75622.4;54593.0;107147.2;66144.5;59361.4;101665.0;68592.1;35938.5;61683.5;94001.1;58200.3;55309.1;104384.6;90644.3;53998.5;90260.4;52036.2;36538.4;56847.4;76428.1;123622.3;48081.4;53208.0;100305.3;67415.9;79737.4;42330.0;95588.8;91922.3;62993.0;65455.6;126195.4;70212.8;120243.4;89889.8;100967.4;108857.5;87463.1;72647.2;220072.8;105373.1;147419.9;140613.8;105965.7;169512.4;148124.3;105311.4;143459.9;159104.0;81188.3;92906.6;102366.1;111698.4;79930.3;112749.7;103472.4;140207.7;89525.6;103032.0;174818.6
Bulgaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.8;4.3;0;0;0;0;0;0;0;0;1.7;302.5;0;0;0;0;0;30.4;0;0;0;0;0;46.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1542.3;1598.1;0;0;0;0;0;0;0;0;0;0;0;0;4262.2;0;0;0;0;0;0;0;0;0;1973.6;970.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;568.2;969.4;733.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2061.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;662.0;0;0;1470.6;2899.8;3671.4;0;0;824.2;1127.7;879.3;597.4;0;0;0;0;4586.5;2254.0;0;227.1;0;0;726.9;0;792.7;0;0;0;1262.3;0.0;0;692.8;0;0;202.6;658.0;3315.3;4210.4;5212.6;0;40.1;6982.6;3387.9;1062.2;1080.7;3083.0;2025.6;2353.5;1724.8;1606.4;10520.2;2528.9;1374.6;899.3;1318.3;92.5;785.8;615.4;0;0;0;92.7;312.1;0;781.1;1116.0;9864.9
Butan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;481.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
